"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"LRP1B1","LRP1B",2.2417576595889e-205,1.20382477084788,0.992,0.753,5.62793260439794e-201,"3"
"ASIC21","ASIC2",3.60666387640671e-179,1.02981141083965,0.796,0.331,9.05452966171903e-175,"3"
"ST181","ST18",0,2.06219206867824,0.892,0.24,0,"4"
"CTNNA31","CTNNA3",0,1.87388144739407,0.929,0.358,0,"4"
"PLP11","PLP1",6.97710828207595e-284,1.60252506820701,0.851,0.286,1.75160303421517e-279,"4"
"PIP4K2A1","PIP4K2A",1.95001348028329e-242,1.71535848701103,0.875,0.468,4.89550884225119e-238,"4"
"IL1RAPL11","IL1RAPL1",3.0710644272687e-237,1.36248460247807,0.976,0.762,7.70990724465806e-233,"4"
"PDE4B1","PDE4B",1.91270298977614e-234,1.57519946933371,0.919,0.57,4.801840855833e-230,"4"
"MBP1","MBP",3.79562778306332e-230,1.72735185071644,0.853,0.453,9.52892354938047e-226,"4"
"RNF2201","RNF220",9.9535472946184e-225,1.86404790005252,0.768,0.343,2.49883804831395e-220,"4"
"CERCAM1","CERCAM",4.3790642731121e-207,1.84012094562069,0.675,0.248,1.09936408576479e-202,"4"
"SLC44A11","SLC44A1",1.93194329938328e-206,1.60885796056658,0.859,0.558,4.85014365310172e-202,"4"
"QKI1","QKI",1.34075852554556e-204,1.34069162267222,0.945,0.717,3.36597427838212e-200,"4"
"AC026316.51","AC026316.5",1.96442665101523e-203,1.78542878649784,0.627,0.208,4.93169310737373e-199,"4"
"SLC24A21","SLC24A2",9.87819043654584e-203,1.53665210746306,0.883,0.617,2.47991970909483e-198,"4"
"TMEM1441","TMEM144",1.10777682197464e-198,1.61048299729774,0.666,0.238,2.78107371156732e-194,"4"
"KCNH81","KCNH8",1.91879522806436e-183,1.59529819269508,0.635,0.231,4.81713542005558e-179,"4"
"TMTC21","TMTC2",6.28381167438912e-165,1.48365798626681,0.782,0.435,1.57755092085539e-160,"4"
"PDE1C1","PDE1C",1.77770232437038e-162,1.58017177955563,0.741,0.401,4.46292168533183e-158,"4"
"SHTN11","SHTN1",2.86442294392307e-161,1.52585185944198,0.786,0.498,7.19113380071887e-157,"4"
"NCKAP51","NCKAP5",1.00875009739462e-158,1.52239319019509,0.746,0.383,2.5324671195092e-154,"4"
"MAN2A11","MAN2A1",4.02881850838062e-154,1.56032819924728,0.777,0.504,1.01143488652896e-149,"4"
"CLMN1","CLMN",3.06252640891947e-150,1.6631976246926,0.557,0.217,7.68847254959234e-146,"4"
"TF1","TF",1.49638740559548e-148,1.48408302647727,0.579,0.222,3.75668058174746e-144,"4"
"PLCL11","PLCL1",6.66190194430973e-148,1.4932672813185,0.786,0.536,1.67247048311896e-143,"4"
"PHLPP11","PHLPP1",9.75346948925576e-146,1.55319120578519,0.756,0.478,2.44860851527766e-141,"4"
"FRMD4B1","FRMD4B",1.25901306754685e-145,1.53525368495044,0.625,0.273,3.16075230607636e-141,"4"
"MOBP1","MOBP",1.76184327364495e-143,1.639147591958,0.527,0.193,4.42310753848564e-139,"4"
"EDIL31","EDIL3",1.93077027311528e-143,1.32083387498649,0.807,0.546,4.84719877065592e-139,"4"
"AL359091.11","AL359091.1",5.14610741414643e-142,1.58345711048692,0.534,0.194,1.29193026632146e-137,"4"
"ERBIN2","ERBIN",1.14339199516709e-140,1.42198153195125,0.789,0.552,2.87048560386697e-136,"4"
"TMEM1651","TMEM165",1.03064247036406e-139,1.5657232656727,0.692,0.381,2.58742792184897e-135,"4"
"TTLL71","TTLL7",4.02596290248302e-139,1.42559545151891,0.781,0.574,1.01071798666836e-134,"4"
"CREB51","CREB5",1.11812839600498e-137,1.55860620575614,0.606,0.27,2.80706133817051e-133,"4"
"FRMD51","FRMD5",4.17427428672152e-134,1.33014301635313,0.808,0.621,1.04795155968144e-129,"4"
"DOCK101","DOCK10",5.7947237967597e-125,1.39187468989147,0.716,0.418,1.45476540917652e-120,"4"
"ELMO11","ELMO1",1.37345771286323e-124,1.27676711226652,0.79,0.557,3.44806558814314e-120,"4"
"DOCK51","DOCK5",9.06485466483761e-122,1.40864981815907,0.598,0.276,2.27573176360748e-117,"4"
"ENPP21","ENPP2",1.47920423029383e-120,1.41322154144997,0.488,0.182,3.71354222015266e-116,"4"
"DNM31","DNM3",7.5519759402196e-119,1.1612247574651,0.821,0.719,1.89592355979213e-114,"4"
