"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MGC12488",1.63960037917839,7.88747017376851,8.36567367554011,2.50995253164721e-14,1.74208404079552e-12,22.0686417654283
"LOC100289333",1.1686182660825,10.2100463315824,8.34624991552243,2.81672342519874e-14,1.92416863636211e-12,21.9559612923731
"ZCCHC24",1.43205992460774,9.66605657013543,8.34422906039908,2.85070252659019e-14,1.94125670482109e-12,21.9442438854465
"CEBPD",1.1237393208185,8.88420706102471,8.31977778656891,3.29552456515332e-14,2.2231957775201e-12,21.8025582205743
"TNFRSF10B",1.06573184714559,6.56072012045607,8.29705590168521,3.77034011021843e-14,2.48166307254651e-12,21.6710414418297
"GRAMD3",1.3053230780152,8.12450396237822,8.28706215435612,4.00010978667798e-14,2.57804694733665e-12,21.6132418813249
"SLC22A3",1.29941819288463,8.21045640577805,8.24439845890634,5.14773299930129e-14,3.26903689442432e-12,21.3668075336012
"LDLRAP1",1.03425007676465,6.98858538860989,8.2408797177392,5.25582734771553e-14,3.3279222577421e-12,21.3465054244436
"BMPR1B",1.12428043716308,8.41229392851214,8.21892000092584,5.98316547072682e-14,3.73387458987289e-12,21.2198835950264
"MT1G",1.29385198100437,8.87632997097182,8.21513534594859,6.11823900939715e-14,3.79628841686233e-12,21.1980747700643
"NUMBL",1.17783309006585,9.93662834608229,8.21102812368811,6.26824906742298e-14,3.85621970326832e-12,21.1744117975187
"JPX",1.59725108575204,6.67226952918553,8.20610228300688,6.45297638162068e-14,3.95861766413586e-12,21.1460388700047
"SEPP1",1.39878219204964,9.85649563738831,8.19142401724361,7.03606601336944e-14,4.25603378546132e-12,21.0615330278324
"PTPRZ1",1.03174720804096,11.1656989364019,8.1879678448963,7.18079204249472e-14,4.30748065596186e-12,21.0416441227121
"KAT2B",1.31990020527487,9.33680839470441,8.14194195471081,9.41428986548069e-14,5.53984910426588e-12,20.7771126659694
"METTL7A",1.15917764974472,9.56959134674261,8.13967201042956,9.54072661864048e-14,5.58390364666647e-12,20.7640822185327
"MZT2B",1.3959405801651,9.22653106764497,8.09237176673687,1.25940721387477e-13,7.17696400433108e-12,20.4929031115517
"SCRIB",1.15924520243272,8.52253546400017,8.07316681807484,1.40943841970756e-13,7.90709559035417e-12,20.3829873839914
"ANLN",1.19099257809699,7.68105200831606,8.07225026650162,1.41702568803338e-13,7.92911919234182e-12,20.3777444309084
"AQP4",1.26959366678414,9.76439078008202,8.06559275181588,1.47336583321635e-13,8.20198897642673e-12,20.3396689635704
"LOC101060510",1.31578162198367,7.08294966982573,8.06203315564514,1.50439486961725e-13,8.33188514106432e-12,20.3193164652396
"ELAVL3",1.35696789245141,9.70492266511049,8.04371849045029,1.67458197848069e-13,9.15734160202004e-12,20.2146598853595
"RP11-73M18.8",1.08690763360225,7.66685834785192,8.03740755920814,1.73754070356604e-13,9.43018645005581e-12,20.1786203501922
"PTN",1.33077659927098,10.5200934418821,8.03688763144769,1.74283100852473e-13,9.43525137240078e-12,20.175651759471
"TFEB",1.07791562317201,6.63152722182994,8.02985126980704,1.81601665784209e-13,9.75827313289588e-12,20.1354848341494
"PSAT1",1.14089021950893,9.3954962744685,8.0241827615447,1.87718436405798e-13,9.9878200009031e-12,20.1031371720929
"LOC286437",1.42779996888078,8.60213316983175,8.01895330671542,1.93542352334376e-13,1.02724500975512e-11,20.0733036353553
"ITGB8",1.00637446330111,7.15853759121992,8.01469728585369,1.98414102561787e-13,1.0479652173111e-11,20.0490295773
"SLC7A2",1.70681192818563,6.5753529156187,7.99179696230459,2.2679062620226e-13,1.17773405525418e-11,19.9185131995823
"RHOBTB3",1.05539386890165,8.77181895158756,7.99035391646714,2.28707792216866e-13,1.18484862211871e-11,19.910294182318
"CLDN15",1.01972913889612,5.99645564912038,7.98834736055356,2.31400338014217e-13,1.19528644519447e-11,19.8988666958554
"LOC100130987",1.26123226644109,7.65271400602149,7.97332497902628,2.5258188046067e-13,1.2779580891065e-11,19.813352389661
"SLC39A12",1.5632732450399,8.23582573452796,7.97142930934748,2.55387790469991e-13,1.28914279781531e-11,19.8025663003799
"MT1F",1.30693575496046,10.2501386127871,7.96093906547981,2.71482873261227e-13,1.3608707454796e-11,19.7428983619483
"CTB-12A17.3",1.31491185917912,9.88499843022567,7.93491063052685,3.1589077202513e-13,1.55115978870843e-11,19.5949972841344
"SECISBP2L",1.01080929384092,10.1805367631017,7.93087776821805,3.23387473586206e-13,1.58437912681206e-11,19.5721002560604
"SERPINE2",1.04379469380033,10.1089763964696,7.91221848202117,3.6043339089176e-13,1.73834857010269e-11,19.4662262640553
"ZBTB20",1.31283448094187,9.47259930621915,7.90523027101945,3.75364784964441e-13,1.79437625130353e-11,19.4266028111027
"RHPN2",1.3449528588986,7.6235734834855,7.90040738561959,3.86025483890711e-13,1.83722678102271e-11,19.3992658069786
"ARHGEF26",1.0840925465249,7.40312000542729,7.8979820818649,3.91499293981762e-13,1.85919237087172e-11,19.3855215072337
"ZIC1",1.84245494599473,7.85237182792642,7.89725883293562,3.93146474189816e-13,1.86292929947056e-11,19.3814231837569
"SLC38A2",1.04863014616002,10.7926225312542,7.88415379062781,4.24210814580239e-13,1.99838911034134e-11,19.307191475295
"MSX1",1.15281995528335,7.16495967048943,7.86963050415026,4.61483780544243e-13,2.14451314757201e-11,19.2249898693912
"HVCN1",1.45226301789924,6.89844074797253,7.85071425808151,5.14933967494184e-13,2.36749364460436e-11,19.1180248307728
"RIN2",1.15226650913412,8.14178509949358,7.7823978406101,7.64252224233093e-13,3.37752692158523e-11,18.732676512331
"GPRC5B",1.07875288368111,9.45120114945704,7.76602243816044,8.39936128182379e-13,3.66710017253819e-11,18.6405340736608
"XAF1",1.22269364965189,7.55252041580913,7.75069547542038,9.1747963888217e-13,3.98156745090048e-11,18.5543708123819
"HSPA2",1.31976056732479,9.3422914107122,7.74575540017486,9.43952648196483e-13,4.08009872189518e-11,18.5266157850557
"ZFP36L2",1.11207021038715,7.02412749021849,7.73849392333727,9.84244470709077e-13,4.2289313518264e-11,18.4858329636343
"RAB13",1.29247090827696,9.40119309018664,7.73608122603255,9.98005166108568e-13,4.27082152072972e-11,18.4722863290525
"LOC101927166",1.52310595397363,8.54569991345043,7.73574973233029,9.99910649277289e-13,4.27082152072972e-11,18.4704252332953
"XRCC2",1.16446540416126,7.97649668508721,7.6990991580034,1.23439993525557e-12,5.17039276556274e-11,18.2648842024732
"WWTR1",1.1860961402406,6.70898350213066,7.69437088196632,1.26836946500274e-12,5.29220438624939e-11,18.2384000849951
"SLC1A3",1.11885947339213,11.4396379400238,7.68327416295004,1.35177008722932e-12,5.59705186213212e-11,18.1762743689053
"GJA1",1.47162668040724,12.4593530179489,7.65054810592196,1.63066917284817e-12,6.7005960034207e-11,17.9932970822207
"GOLIM4",1.13910927146876,8.33667837995226,7.64814391099923,1.65327247710194e-12,6.78060899462925e-11,17.9798690941525
"EMX2",1.40079966958801,8.59517841709642,7.63483013271739,1.78417361335248e-12,7.26245857089246e-11,17.9055441414933
"AMOTL2",1.09067739413291,8.91706310024416,7.62030870243921,1.93866324733445e-12,7.81783102812432e-11,17.8245463602538
"EFHD1",1.18484384325027,9.87078877143156,7.57218992681254,2.55147152339568e-12,9.93743090631898e-11,17.5566670011607
"SDC4",1.30927949220228,9.45272958954458,7.56958979677432,2.58956557943025e-12,1.00496492155129e-10,17.542214770142
"NFIC",1.33274144034988,9.19496878331394,7.55791878510997,2.76760631722449e-12,1.06263324112582e-10,17.4773730882783
"TMEM123",1.1997271778931,8.44796887126229,7.54252582988976,3.02106556900892e-12,1.14975702806482e-10,17.3919257634284
"MT1E",1.08900288339313,10.1901622775489,7.54026104028427,3.06024650386422e-12,1.16262522879262e-10,17.3793607623539
"GPER1",1.34044777506689,6.22660994769535,7.50020685250757,3.8424100555851e-12,1.41268912994389e-10,17.1574392817213
"FGFR3",1.38291166388694,10.5634779158876,7.48733958324439,4.13339776166396e-12,1.50942206625351e-10,17.0862682167985
"GPAM",1.16168682643395,8.42549656497786,7.47389872186274,4.46064211712044e-12,1.61530443221142e-10,17.0119874538858
"ZIC2",1.52091923088855,8.67240628497534,7.44183312800975,5.34847173779093e-12,1.9239394598316e-10,16.8350384836236
"PECAM1",1.06343044698197,7.00149820126501,7.40724935109631,6.50245653174226e-12,2.3083720687685e-10,16.6446089691377
"HSP90B1",1.2954229191651,8.35366196259287,7.4035081974483,6.64117631666872e-12,2.35375897115321e-10,16.6240349878352
"SLC26A6",1.12350118968336,7.35736672352842,7.39460459908587,6.98319666215257e-12,2.45394295585832e-10,16.5750913490365
"TTYH2",1.01436037185289,8.75562626392318,7.38138154510359,7.52352603598191e-12,2.60675130094701e-10,16.5024568649354
"MEG3",1.10845672336555,11.5092278982013,7.35649810042396,8.6548040411882e-12,2.94685191056494e-10,16.3659456945242
"IL17RB",1.11342461532572,8.05999865166113,7.35188849271551,8.88211474957714e-12,3.01476794517387e-10,16.3406823315623
"SRGN",1.29412912909696,7.78872878528414,7.34406609459536,9.28143857780757e-12,3.14537640692368e-10,16.2978289704399
"TNS3",1.33289189749179,9.72691680392106,7.34092725228653,9.44661690393442e-12,3.18639391050934e-10,16.2806398554741
"SPP1",1.20214316777773,8.9099512420475,7.33726171972493,9.6431930199458e-12,3.24764144396464e-10,16.2605710733266
"PON2",1.17292583208229,9.75422830551934,7.32954984621147,1.00700665484427e-11,3.38088823420971e-10,16.2183648769483
"ND6",1.36860981724838,11.5955676446064,7.32198006977111,1.05072273525874e-11,3.50052320492738e-10,16.1769578797957
"RHOU",1.03939052252179,8.7342124567276,7.313388558235,1.10261547102281e-11,3.64536458396931e-10,16.1299878338022
