"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"STMN3",1.13522934459457e-56,-0.461152026451384,0.259,0.509,2.84999326960468e-52
"DNM1L",1.39075274017416e-56,-0.340769513721871,0.284,0.537,3.49148475420724e-52
"FAM3C",1.61343708341395e-56,-0.372808919292256,0.188,0.41,4.05053379791073e-52
"CKMT1B",1.743856211158e-56,-0.305010870763677,0.158,0.37,4.37795101811216e-52
"DPP8",1.85200470257122e-56,-0.349451190699236,0.201,0.43,4.64945780580504e-52
"AEBP2",2.44013319749298e-56,-0.446899591746351,0.57,0.763,6.12595439230614e-52
"EID1",2.72985307045835e-56,-0.419728178559961,0.165,0.378,6.85329613338568e-52
"PTPA",2.87452864111381e-56,-0.46159524980832,0.236,0.476,7.21650415351621e-52
"PIP5K1B",2.96608032053213e-56,-0.40800396324293,0.2,0.427,7.44634464469591e-52
"TXNDC16",3.03120422920716e-56,-0.381044969965394,0.215,0.444,7.60983821742458e-52
"RNF11",3.72761265879049e-56,-0.500944033719804,0.278,0.52,9.35817157989353e-52
"VSNL1",4.05408800519358e-56,-0.637013820969888,0.525,0.725,1.01777879370385e-51
"MTMR6",4.58122259161709e-56,-0.381648629596395,0.149,0.358,1.15011593162547e-51
"TMEM33",5.36131127379555e-56,-0.336020608052589,0.113,0.306,1.34595719528637e-51
"GRM5",6.12881614492754e-56,0.45884498581266,0.882,0.825,1.53863929318406e-51
"SYNPO",7.39387340956119e-56,-0.59267043653234,0.238,0.456,1.85623191947034e-51
"FBXO44",8.87306900505915e-56,-0.379417167928297,0.341,0.603,2.2275839737201e-51
"HNRNPA3",1.3218929552447e-55,-0.403357331998126,0.346,0.61,3.31861226414183e-51
"TCAF1",1.34640895953999e-55,-0.386382933811177,0.27,0.518,3.38015969292514e-51
"ALDH5A1",1.34813363013935e-55,-0.321237375596562,0.082,0.256,3.38448947846483e-51
"MT-ATP8",1.68910733130286e-55,-0.522493761533027,0.157,0.365,4.24050395523583e-51
"RLIM",1.8770776121591e-55,-0.385972485998369,0.108,0.296,4.71240334532542e-51
"EIF1",2.1143513094311e-55,-0.377737936016688,0.301,0.565,5.30807896232677e-51
"ENTPD3",2.64443894921166e-55,-0.370935856326601,0.086,0.26,6.63886398199587e-51
